Período,emprego_industria_fiergs,horas_trabalhadas_fiergs,uso_cap_ins_fiergs,faturamentoreal_industria_fiergs,compras_industriais_fiergs,indicador_industrial_fiergs,agri_pecu_imp,producao_florestal_imp,pesca_aquicultura_imp,carvao_imp,petroleo_gas_imp,minerais_metal_imp,minerais_n_metalicos_imp,alimentos_imp,bebidas_imp,tabaco_imp,texteis_imp,vestuario_imp,couro_calc_imp,madeira_imp,celulose_imp,impressao_gravacao_imp,coque_petroleo_bio_imp,quimic_imp,farmaquim_imp,borracha_plast_imp,min_n_met_imp,metalurgia_imp,produtos_metal_imp,informatica_imp,maq_eq_ele_imp,maq_eq_imp,veiculos_imp,outros_transporte_imp,moveis_imp,prod_diversos_imp,eletricidade_gas_imp,coleta_residuos_imp,edicao_impressao_imp,cinemato_imp,arqui_eng_imp,ativ_pro_cienti_imp,artistic_imp,outros_imp,total_extrativa_imp,total_ind_transform_imp,total_ind_imp,total_imp,agri_pecu_exp,producao_florestal_exp,pesca_aquicultura_exp,carvao_exp,petroleo_gas_exp,minerais_metal_exp,minerais_n_metalicos_exp,alimentos_exp,bebidas_exp,tabaco_exp,texteis_exp,vestuario_exp,couro_calc_exp,madeira_exp,celulose_exp,impressao_gravacao_exp,coque_petroleo_bio_exp,quimic_exp,farmaquim_exp,borracha_plast_exp,min_n_met_exp,metalurgia_Exp,produtos_metal_exp,informatica_exp,maq_eq_ele_exp,maq_eq_exp,veiculos_exp,outros_transporte_exp,moveis_exp,prod_diversos_exp,eletricidade_gas_exp,coleta_residuos_exp,cinemato_exp,arqui_eng_exp,ativ_pro_cienti_exp,trans_espec_exp,artistic_exp,outros_exp,total_extrativa_exp,total_ind_transform_exp,total_ind_exp,total_exp,volume_varejo_rs,populacao_rs,desemprego_rs,ocupado_emprego,ocupado_rendimento_medio,ass_emprego,ass_rendimento_real,RESIDENCIAL_AES,COMERCIAL_AES,INDUSTRIAL_AES,RURAL_AES,SERVIÇOS_PUBLICOS_AES,OUTROS_AES,TOTAL_AES,RESIDENCIAL_CEEE,COMERCIAL_CEEE,INDUSTRIAL_CEEE,RURAL_CEEE,SERVIÇOS_PUBLICOS_CEEE,OUTROS_CEEE,TOTAL_CEEE,RESIDENCIAL_RGE,COMERCIAL_RGE,INDUSTRIAL_RGE,RURAL_RGE,SERVIÇOS_PUBLICOS_RGE,OUTROS_RGE,TOTAL_RGE,INPC 0 IBGE,INCC 0 FGV,IGP0M 0 FGV,IGP0DI 0 FGV,IPCA 0 IBGE,PRODUÇÃO ANIMAL E EXTRAÇÃO VEGETAL,INDÚSTRIA EXTRATIVA MINERAL,INDÚSTRIA DE TRANSFORMAÇÃO,INDÚSTRIA DE BENEFICIAMENTO,INDÚSTRIA DE MONTAGEM,INDÚSTRIA DE ACONDICIONAMENTO E RECONDICIONAMENTO,COMÉRCIO ATACADISTA,COMÉRCIO VAREJISTA,SERVIÇOS E OUTROS,TOTAL,Amendoim em Casca,Arroz em Casca,Aveia,Feijão,Milho,Soja,Sorgo Granífero,Trigo,Alho,Cebola,Aipim,Batata,Tomate Sal. (Gaúcho),Tomate Sta. Cruz,Feno de Alfafa,Fumo Folha (Virgin),Erva0Mate (Folh Ver),Vaca para Abate,Touro de 3 anos,Novilho rec 4/+ anos,Novilho rec 3 anos,Novilho rec 2 anos,Novilho rec 1 ano,Vaca Solteira,Vaca com cria ao pé,Vaca de Invernar,Vaquilhona de 3 anos,Vaquilhona de 2 anos,Vaquilhona de 1 ano,Terneiro (a),Carneiro SO,Cordeiro para Abate,Ovelha para Abate,Ovelha de Cria,Lã Cruza 1 especial,Vaca Leiteira Comum,Vaca Hol PPC 1a cria,Nov Hol PPC (prenha),Vaca Velha,Leite (Vl Liq Rec),Cavalo de Serviço,Junta de bois mansos,Suíno tipo Carne,Suíno tipo Misto,Ovos de Colônia,Ovos de Granja,Mel de Abelha,Peixe Carpa (vivo),Peixe Carpa (evisce)
1/2002,96.470230029,93.145922520,81.537602420,97.898400068,74.069710815,91.405389872,78.220000000,0.190000000,1.480000000,0.000000000,81.780000000,0.000000000,3.600000000,87.030000000,3.720000000,0.180000000,26.600000000,0.650000000,61.380000000,8.200000000,28.780000000,3.250000000,42.340000000,320.770000000,29.320000000,75.540000000,8.780000000,30.760000000,24.390000000,109.830000000,34.940000000,188.870000000,141.630000000,7.640000000,1.130000000,5.700000000,0.000000000,0.040000000,0.090000000,0.000000000,0.000000000,0.250000000,0.000000000,0.000000000,85.370000000,1241.430000000,1326.850000000,1407.080000000,39.620000000,1.650000000,0.040000000,0.010000000,0.000000000,0.000000000,6.490000000,551.270000000,2.930000000,106.530000000,11.320000000,4.970000000,791.970000000,69.850000000,69.500000000,0.780000000,0.840000000,197.110000000,0.290000000,25.390000000,19.080000000,14.320000000,67.510000000,41.140000000,31.570000000,150.180000000,247.660000000,0.530000000,58.210000000,22.410000000,0.000000000,0.520000000,0.000000000,0.000000000,0.000000000,39.320000000,0.000000000,0.000000000,6.500000000,2485.350000000,2492.370000000,2573.000000000,55.200000000,98.800000000,14.500000000,102.000000000,93.700000000,108.200000000,94.300000000,143729.000000000,70430.000000000,230376.000000000,125498.000000000,43830.000000000,4670.000000000,618533.000000000,187189.000000000,126253.000000000,106783.000000000,49776.000000000,52048.000000000,696.000000000,522746.000000000,110758.000000000,57643.000000000,140725.000000000,73497.000000000,40755.000000000,23839.000000000,447217.000000000,1849.780000000,214.160000000,216.940000000,214.540000000,1822.080000000,3394350.000000000,1550850.000000000,222217775.000000000,15281345.000000000,5482512.000000000,228405.000000000,102092236.000000000,84756876.000000000,76975200.000000000,511979550.000000000,28.810000000,18.760000000,11.080000000,72.650000000,11.180000000,24.370000000,8.650000000,15.170000000,3.630000000,0.350000000,325.710000000,13.670000000,12.200000000,11.760000000,4.110000000,40.840000000,2.690000000,1.330000000,1556.430000000,511.250000000,473.750000000,422.140000000,323.850000000,408.850000000,583.850000000,422.860000000,402.860000000,356.430000000,291.540000000,271.070000000,301.000000000,1.460000000,1.310000000,76.590000000,40.140000000,568.330000000,1072.220000000,956.250000000,383.750000000,0.240000000,410.000000000,1658.330000000,1.350000000,1.210000000,1.000000000,0.990000000,4.580000000,1.650000000,2.170000000
2/2002,96.852516348,97.248359714,82.790453790,94.667225821,70.926860687,91.329674177,85.070000000,0.740000000,1.150000000,0.000000000,23.170000000,0.340000000,11.130000000,71.970000000,8.040000000,4.900000000,22.830000000,3.350000000,51.640000000,7.790000000,23.230000000,6.080000000,122.720000000,290.260000000,39.300000000,76.300000000,5.490000000,34.700000000,24.780000000,61.520000000,37.820000000,172.420000000,101.530000000,8.320000000,0.930000000,10.150000000,0.000000000,0.210000000,0.040000000,0.000000000,0.000000000,0.330000000,0.000000000,0.050000000,34.640000000,1186.080000000,1220.930000000,1308.320000000,79.100000000,1.680000000,0.230000000,0.000000000,0.000000000,0.000000000,5.610000000,363.410000000,3.320000000,152.290000000,20.300000000,4.020000000,863.650000000,47.120000000,56.690000000,0.180000000,1.450000000,287.060000000,0.180000000,43.620000000,23.820000000,17.570000000,63.160000000,8.730000000,32.480000000,196.780000000,235.930000000,1.380000000,65.310000000,21.360000000,0.000000000,1.250000000,0.000000000,0.000000000,0.000000000,27.460000000,0.000000000,0.090000000,5.610000000,2509.820000000,2516.680000000,2625.240000000,52.700000000,98.800000000,15.000000000,101.300000000,93.700000000,107.800000000,95.300000000,143767.000000000,71611.000000000,283675.000000000,127260.000000000,44018.000000000,4615.000000000,674946.000000000,186062.000000000,129178.000000000,122032.000000000,55489.000000000,52289.000000000,766.000000000,545817.000000000,113882.000000000,60358.000000000,187674.000000000,71550.000000000,41116.000000000,22392.000000000,496972.000000000,1855.510000000,215.400000000,217.070000000,214.930000000,1828.640000000,3113939.000000000,2456832.000000000,253467215.000000000,22014106.000000000,4373857.000000000,221891.000000000,155295315.000000000,59061826.000000000,72648350.000000000,572653330.000000000,31.750000000,16.990000000,10.770000000,71.420000000,12.150000000,23.630000000,9.110000000,15.560000000,3.750000000,0.480000000,281.590000000,21.330000000,14.650000000,12.550000000,4.110000000,43.980000000,2.680000000,1.300000000,1690.000000000,527.500000000,458.750000000,409.740000000,327.940000000,409.120000000,579.410000000,415.880000000,403.060000000,352.940000000,300.590000000,250.880000000,272.460000000,1.410000000,1.280000000,63.200000000,38.340000000,562.220000000,1097.860000000,988.330000000,383.130000000,0.250000000,436.250000000,1677.060000000,1.310000000,1.220000000,0.950000000,1.010000000,4.520000000,1.690000000,2.160000000
3/2002,98.584431972,106.422293089,84.268924369,107.113149894,79.784843300,98.559955420,58.060000000,0.150000000,1.190000000,0.000000000,90.950000000,0.000000000,10.460000000,66.170000000,8.190000000,10.170000000,32.090000000,15.170000000,63.030000000,7.630000000,22.170000000,7.110000000,107.190000000,400.500000000,23.720000000,69.550000000,7.470000000,40.790000000,30.120000000,81.590000000,37.940000000,232.750000000,114.460000000,4.310000000,1.670000000,7.580000000,0.000000000,0.170000000,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,101.410000000,1391.360000000,1492.940000000,1552.350000000,85.300000000,9.680000000,0.670000000,0.000000000,0.000000000,0.000000000,7.080000000,405.120000000,2.610000000,271.960000000,17.820000000,5.910000000,820.660000000,35.510000000,39.780000000,2.140000000,1.040000000,286.430000000,1.150000000,38.540000000,23.530000000,14.810000000,92.760000000,10.330000000,44.130000000,160.890000000,209.890000000,1.030000000,68.610000000,26.740000000,0.000000000,0.450000000,0.000000000,0.000000000,0.000000000,39.220000000,0.000000000,0.000000000,7.080000000,2581.360000000,2588.890000000,2723.760000000,61.500000000,97.900000000,15.800000000,99.400000000,94.500000000,106.400000000,97.400000000,143810.000000000,70214.000000000,272313.000000000,105469.000000000,44986.000000000,5406.000000000,642198.000000000,181537.000000000,128130.000000000,119794.000000000,48477.000000000,52581.000000000,768.000000000,531287.000000000,117273.000000000,64874.000000000,196473.000000000,74223.000000000,42490.000000000,25667.000000000,520999.000000000,1867.010000000,216.580000000,217.280000000,215.170000000,1839.610000000,3856088.000000000,1852549.000000000,221135189.000000000,18602571.000000000,3853941.000000000,315430.000000000,108314049.000000000,49671790.000000000,71807020.000000000,479408627.000000000,28.330000000,15.060000000,13.630000000,73.350000000,12.400000000,20.880000000,9.830000000,16.010000000,3.870000000,0.500000000,311.250000000,18.000000000,12.440000000,10.620000000,3.990000000,43.430000000,2.680000000,1.280000000,1789.290000000,531.000000000,460.000000000,395.330000000,328.210000000,410.710000000,584.380000000,416.000000000,403.330000000,355.880000000,304.380000000,265.000000000,277.690000000,1.440000000,1.260000000,69.560000000,38.710000000,641.180000000,1093.330000000,1057.140000000,393.000000000,0.260000000,433.890000000,1634.620000000,1.250000000,1.160000000,1.040000000,1.050000000,4.520000000,1.670000000,2.210000000
4/2002,99.249760008,112.797435579,84.808631107,113.878852857,85.495827254,102.917209585,98.370000000,0.240000000,1.840000000,0.000000000,18.660000000,0.000000000,7.840000000,55.160000000,12.550000000,7.870000000,29.510000000,7.000000000,55.300000000,7.970000000,28.460000000,25.300000000,215.400000000,281.170000000,17.010000000,78.410000000,5.670000000,34.990000000,23.810000000,106.730000000,23.210000000,205.670000000,98.010000000,4.300000000,1.680000000,4.790000000,0.000000000,0.040000000,0.650000000,0.000000000,0.000000000,0.580000000,0.000000000,0.020000000,26.500000000,1329.970000000,1356.500000000,1458.200000000,39.080000000,0.780000000,0.290000000,0.000000000,0.000000000,0.000000000,8.840000000,312.540000000,2.100000000,471.440000000,16.430000000,6.150000000,928.230000000,63.450000000,59.950000000,1.570000000,1.150000000,284.760000000,1.060000000,36.800000000,27.480000000,18.720000000,90.540000000,8.010000000,51.430000000,191.600000000,271.470000000,0.320000000,78.800000000,31.850000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,28.680000000,0.000000000,0.000000000,8.840000000,2955.850000000,2964.680000000,3033.510000000,59.200000000,98.500000000,15.700000000,99.800000000,96.300000000,105.800000000,99.700000000,142590.000000000,70989.000000000,287781.000000000,82304.000000000,45456.000000000,4813.000000000,633933.000000000,188305.000000000,130991.000000000,137780.000000000,30128.000000000,54902.000000000,741.000000000,542847.000000000,121447.000000000,64355.000000000,199564.000000000,71196.000000000,43780.000000000,24125.000000000,524467.000000000,1879.710000000,217.290000000,218.490000000,216.670000000,1854.330000000,5758178.000000000,2219633.000000000,282896022.000000000,20322848.000000000,4618472.000000000,283083.000000000,138598764.000000000,64109715.000000000,76694056.000000000,595500771.000000000,27.500000000,15.110000000,13.880000000,64.790000000,12.860000000,20.230000000,10.000000000,16.200000000,3.890000000,0.530000000,281.400000000,22.200000000,16.830000000,12.950000000,4.310000000,43.080000000,2.760000000,1.220000000,1787.500000000,495.000000000,431.250000000,371.760000000,312.650000000,397.650000000,573.530000000,398.130000000,377.060000000,340.000000000,280.590000000,267.000000000,266.920000000,1.390000000,1.210000000,63.750000000,37.710000000,631.250000000,1111.540000000,1057.500000000,412.310000000,0.260000000,450.000000000,1587.500000000,1.220000000,1.130000000,1.030000000,0.950000000,4.500000000,1.760000000,2.350000000
5/2002,99.201207992,112.537600623,83.959135300,125.751039158,83.857253869,104.724935289,71.400000000,0.210000000,1.030000000,0.000000000,109.280000000,0.000000000,2.250000000,66.720000000,14.490000000,10.890000000,26.610000000,1.960000000,78.270000000,7.730000000,21.090000000,15.190000000,132.950000000,336.030000000,22.840000000,76.890000000,7.080000000,53.560000000,18.160000000,95.970000000,37.390000000,207.540000000,112.030000000,3.460000000,1.410000000,5.920000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,111.530000000,1354.140000000,1465.670000000,1538.320000000,170.700000000,3.480000000,0.530000000,0.000000000,0.000000000,0.000000000,7.760000000,458.220000000,3.040000000,1122.740000000,25.070000000,6.430000000,889.730000000,37.780000000,49.840000000,1.070000000,0.860000000,304.210000000,0.340000000,53.290000000,27.300000000,16.100000000,103.480000000,8.150000000,64.030000000,259.330000000,209.670000000,0.980000000,86.670000000,30.910000000,0.000000000,0.440000000,0.000000000,0.000000000,0.000000000,45.050000000,0.000000000,0.000000000,7.760000000,3759.270000000,3767.460000000,3987.220000000,63.100000000,99.700000000,16.000000000,100.800000000,96.700000000,106.200000000,99.100000000,133253.000000000,65807.000000000,297522.000000000,56711.000000000,46808.000000000,4248.000000000,604349.000000000,175318.000000000,119238.000000000,139236.000000000,23794.000000000,51650.000000000,825.000000000,510061.000000000,117894.000000000,62733.000000000,209681.000000000,70434.000000000,44154.000000000,23678.000000000,528574.000000000,1881.400000000,222.790000000,220.290000000,219.070000000,1858.220000000,5029914.000000000,1898195.000000000,269916780.000000000,19325685.000000000,3879070.000000000,498853.000000000,119974858.000000000,54196444.000000000,75313153.000000000,550032951.000000000,27.500000000,15.810000000,14.250000000,61.350000000,13.340000000,22.710000000,10.350000000,17.240000000,4.380000000,0.560000000,266.330000000,30.000000000,20.550000000,14.770000000,4.250000000,43.400000000,2.760000000,1.150000000,1807.690000000,514.170000000,427.560000000,380.630000000,313.440000000,397.000000000,589.720000000,391.330000000,382.220000000,326.470000000,281.760000000,259.720000000,285.450000000,1.390000000,1.180000000,67.340000000,43.850000000,634.670000000,1164.290000000,1069.170000000,430.710000000,0.270000000,470.590000000,1603.530000000,1.150000000,1.060000000,1.010000000,1.060000000,4.450000000,1.750000000,2.370000000
6/2002,98.134425806,106.102092437,83.179214580,131.079337496,85.897366492,104.365292618,94.100000000,0.270000000,1.140000000,0.000000000,128.340000000,0.000000000,2.480000000,73.780000000,14.530000000,34.740000000,29.740000000,0.870000000,75.170000000,13.450000000,31.220000000,2.850000000,52.420000000,318.460000000,11.090000000,77.700000000,8.730000000,37.100000000,21.730000000,105.680000000,25.880000000,160.030000000,111.080000000,3.200000000,1.940000000,15.290000000,0.000000000,0.000000000,0.020000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,130.820000000,1226.660000000,1357.480000000,1453.000000000,447.660000000,2.210000000,1.030000000,0.000000000,0.000000000,0.000000000,10.180000000,618.970000000,1.760000000,1037.400000000,57.430000000,4.780000000,990.740000000,67.040000000,74.240000000,1.350000000,1.820000000,250.410000000,0.190000000,43.130000000,27.070000000,15.460000000,95.700000000,11.710000000,54.360000000,174.500000000,208.740000000,2.810000000,93.880000000,31.980000000,0.000000000,1.720000000,0.000000000,0.000000000,0.000000000,70.670000000,0.000000000,0.090000000,10.180000000,3865.470000000,3877.360000000,4399.040000000,59.500000000,100.100000000,15.900000000,101.300000000,97.400000000,106.500000000,99.000000000,132603.000000000,62954.000000000,330861.000000000,51802.000000000,46590.000000000,3837.000000000,628647.000000000,170838.000000000,109561.000000000,141930.000000000,19483.000000000,49563.000000000,670.000000000,492046.000000000,118045.000000000,59941.000000000,203234.000000000,65195.000000000,43900.000000000,23094.000000000,513409.000000000,1892.880000000,224.050000000,223.690000000,222.870000000,1866.020000000,4228070.000000000,1714416.000000000,268427180.000000000,19597722.000000000,3734340.000000000,534470.000000000,122212724.000000000,66240686.000000000,82733458.000000000,569423065.000000000,27.500000000,16.890000000,15.440000000,62.780000000,13.760000000,26.740000000,11.020000000,18.600000000,4.500000000,0.660000000,283.000000000,31.790000000,20.600000000,14.380000000,4.830000000,42.690000000,2.760000000,1.190000000,1863.640000000,513.850000000,437.060000000,385.290000000,326.180000000,394.380000000,585.880000000,381.760000000,384.740000000,332.220000000,283.890000000,258.500000000,292.220000000,1.400000000,1.190000000,69.820000000,48.740000000,618.000000000,1142.310000000,1013.640000000,396.000000000,0.280000000,508.330000000,1580.500000000,1.120000000,1.050000000,1.000000000,1.060000000,4.860000000,1.800000000,2.420000000
7/2002,97.252413720,110.585679223,84.238935107,136.775451892,88.453537112,107.138097373,56.270000000,0.190000000,1.440000000,0.000000000,73.500000000,0.000000000,34.790000000,66.740000000,31.310000000,24.490000000,30.220000000,1.200000000,93.170000000,14.780000000,36.790000000,17.820000000,150.720000000,641.450000000,6.800000000,102.480000000,12.760000000,81.460000000,38.840000000,143.000000000,48.210000000,295.500000000,147.670000000,4.460000000,2.350000000,7.900000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.510000000,0.000000000,0.040000000,108.290000000,2000.130000000,2108.420000000,2166.870000000,1083.940000000,2.550000000,1.670000000,0.000000000,0.000000000,0.000000000,9.860000000,1442.610000000,1.220000000,992.370000000,26.820000000,7.130000000,1355.440000000,141.350000000,80.800000000,0.850000000,8.270000000,526.190000000,1.030000000,55.050000000,30.740000000,19.240000000,138.400000000,18.410000000,75.820000000,205.880000000,390.690000000,0.130000000,110.090000000,39.180000000,0.000000000,0.090000000,0.000000000,0.000000000,0.000000000,69.660000000,0.000000000,0.000000000,9.860000000,5667.700000000,5677.650000000,6835.460000000,60.700000000,100.500000000,15.900000000,101.800000000,98.800000000,106.600000000,99.700000000,127516.000000000,59404.000000000,309832.000000000,47917.000000000,45814.000000000,4144.000000000,594627.000000000,163134.000000000,102113.000000000,137458.000000000,17345.000000000,51067.000000000,698.000000000,471815.000000000,113911.000000000,58651.000000000,204777.000000000,58311.000000000,43267.000000000,22588.000000000,501505.000000000,1914.650000000,224.710000000,228.060000000,227.440000000,1888.230000000,5031701.000000000,1627117.000000000,266067422.000000000,19652666.000000000,4579924.000000000,396615.000000000,130469406.000000000,66345063.000000000,75399785.000000000,569569699.000000000,30.750000000,17.600000000,15.690000000,68.260000000,14.130000000,29.900000000,11.360000000,20.680000000,4.990000000,0.700000000,308.110000000,28.600000000,22.140000000,15.570000000,4.860000000,44.300000000,2.720000000,1.230000000,1781.670000000,540.000000000,446.390000000,391.760000000,326.760000000,407.060000000,572.500000000,382.940000000,393.890000000,340.000000000,294.440000000,259.380000000,300.830000000,1.450000000,1.230000000,74.450000000,48.740000000,601.820000000,1134.210000000,1071.880000000,412.780000000,0.290000000,496.670000000,1568.000000000,1.120000000,1.060000000,1.030000000,1.130000000,4.850000000,1.900000000,2.500000000
8/2002,97.143147358,107.020700865,85.857055679,147.961166676,99.556454020,111.230340528,74.240000000,0.210000000,0.740000000,0.000000000,124.160000000,0.000000000,6.360000000,48.700000000,10.860000000,3.100000000,36.990000000,2.210000000,82.570000000,14.400000000,37.580000000,4.510000000,43.140000000,552.960000000,3.720000000,83.800000000,7.180000000,54.160000000,28.670000000,92.030000000,26.240000000,301.860000000,181.250000000,4.020000000,1.990000000,9.230000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.060000000,130.520000000,1631.180000000,1761.700000000,1836.950000000,535.040000000,24.680000000,1.160000000,0.000000000,0.000000000,0.010000000,11.750000000,1130.630000000,2.470000000,766.470000000,26.230000000,8.120000000,1255.830000000,73.170000000,92.940000000,2.990000000,1.830000000,403.150000000,0.270000000,38.140000000,37.690000000,21.020000000,151.200000000,10.560000000,78.470000000,220.350000000,373.770000000,1.850000000,109.000000000,34.570000000,0.000000000,0.260000000,0.000000000,0.000000000,0.000000000,82.010000000,0.000000000,0.000000000,11.760000000,4840.730000000,4852.750000000,5495.640000000,62.800000000,100.100000000,15.400000000,102.000000000,98.600000000,105.900000000,99.100000000,127529.000000000,59737.000000000,305232.000000000,49617.000000000,45833.000000000,4236.000000000,592184.000000000,179609.000000000,108741.000000000,136403.000000000,17157.000000000,50928.000000000,701.000000000,493539.000000000,114074.000000000,59051.000000000,215678.000000000,61356.000000000,43536.000000000,22368.000000000,516064.000000000,1931.120000000,226.970000000,233.350000000,232.820000000,1900.500000000,4597681.000000000,1885866.000000000,286857933.000000000,20919984.000000000,3112093.000000000,316692.000000000,125589027.000000000,64430126.000000000,79575233.000000000,587284636.000000000,33.750000000,18.310000000,16.000000000,66.370000000,14.560000000,34.060000000,11.200000000,21.370000000,5.760000000,0.580000000,280.000000000,26.170000000,20.500000000,16.670000000,5.130000000,44.880000000,2.760000000,1.310000000,1876.920000000,535.450000000,443.130000000,404.380000000,328.570000000,410.000000000,579.290000000,391.250000000,395.260000000,345.000000000,297.860000000,272.350000000,310.000000000,1.540000000,1.300000000,77.640000000,53.250000000,603.890000000,1162.500000000,1047.860000000,421.670000000,0.280000000,507.140000000,1650.560000000,1.150000000,1.030000000,1.080000000,1.210000000,4.840000000,1.930000000,2.600000000
9/2002,97.479800620,101.200806136,85.389723025,126.331687054,94.686850099,104.421456928,49.320000000,0.540000000,1.350000000,0.000000000,268.990000000,0.000000000,16.920000000,59.040000000,14.360000000,3.320000000,26.360000000,2.620000000,83.510000000,11.990000000,40.030000000,14.200000000,150.050000000,479.650000000,8.930000000,87.280000000,8.710000000,43.670000000,36.850000000,91.500000000,29.170000000,360.290000000,148.030000000,4.960000000,2.670000000,9.190000000,0.000000000,0.000000000,0.010000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,285.920000000,1716.410000000,2002.330000000,2053.550000000,651.550000000,12.060000000,2.750000000,0.000000000,0.000000000,0.000000000,11.230000000,1221.260000000,1.750000000,343.400000000,26.280000000,9.150000000,1129.180000000,71.320000000,60.140000000,1.290000000,2.260000000,488.100000000,0.430000000,47.000000000,37.320000000,21.860000000,148.650000000,11.410000000,87.740000000,263.130000000,361.170000000,0.760000000,118.580000000,42.460000000,0.000000000,0.180000000,0.000000000,0.000000000,0.000000000,38.740000000,0.000000000,0.110000000,11.230000000,4494.660000000,4506.080000000,5211.290000000,55.100000000,100.600000000,15.500000000,102.500000000,99.100000000,105.800000000,98.900000000,129249.000000000,61791.000000000,298462.000000000,50515.000000000,46477.000000000,3873.000000000,590367.000000000,169147.000000000,108543.000000000,130501.000000000,16345.000000000,49823.000000000,763.000000000,475122.000000000,115246.000000000,59070.000000000,207853.000000000,60098.000000000,43357.000000000,21699.000000000,507323.000000000,1947.150000000,228.580000000,238.940000000,238.970000000,1914.180000000,4848661.000000000,1899101.000000000,305847258.000000000,21845126.000000000,3770549.000000000,552625.000000000,131658223.000000000,65821901.000000000,80788677.000000000,617032120.000000000,35.000000000,20.430000000,17.000000000,72.810000000,15.800000000,36.760000000,12.900000000,23.390000000,4.590000000,0.640000000,288.890000000,27.000000000,24.640000000,17.250000000,5.080000000,46.500000000,2.690000000,1.400000000,1964.290000000,538.890000000,442.860000000,401.820000000,327.500000000,414.620000000,613.850000000,395.380000000,394.000000000,344.670000000,286.920000000,273.570000000,298.890000000,1.640000000,1.370000000,90.420000000,58.000000000,621.760000000,1193.750000000,1085.630000000,461.330000000,0.290000000,511.540000000,1654.290000000,1.140000000,1.050000000,1.060000000,1.110000000,4.870000000,1.800000000,2.630000000
10/2002,97.369172077,108.236569036,84.451758898,141.564661797,102.742236622,110.745091008,119.100000000,0.640000000,0.770000000,0.000000000,248.360000000,0.000000000,18.720000000,71.500000000,19.540000000,0.880000000,33.260000000,8.100000000,81.760000000,14.170000000,44.950000000,7.900000000,134.220000000,751.300000000,9.120000000,95.550000000,7.050000000,76.430000000,34.970000000,151.340000000,46.290000000,308.130000000,276.820000000,2.790000000,3.060000000,13.090000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.050000000,267.080000000,2192.200000000,2459.280000000,2579.850000000,376.020000000,13.390000000,2.580000000,0.000000000,0.000000000,0.000000000,18.640000000,1580.740000000,1.800000000,733.950000000,28.500000000,10.030000000,1408.640000000,95.570000000,111.940000000,1.160000000,21.840000000,613.120000000,0.930000000,54.140000000,38.740000000,29.250000000,155.370000000,20.600000000,99.140000000,282.260000000,681.420000000,3.540000000,167.560000000,56.570000000,0.000000000,0.250000000,0.000000000,0.000000000,0.000000000,91.910000000,0.000000000,0.000000000,18.640000000,6196.800000000,6215.690000000,6699.600000000,60.300000000,100.100000000,15.100000000,102.300000000,97.900000000,105.500000000,97.400000000,128998.000000000,61652.000000000,285163.000000000,47020.000000000,45338.000000000,4327.000000000,572498.000000000,167127.000000000,110836.000000000,133055.000000000,15449.000000000,50169.000000000,690.000000000,477326.000000000,120851.000000000,62235.000000000,212180.000000000,63603.000000000,43531.000000000,24817.000000000,527218.000000000,1977.720000000,231.170000000,248.200000000,249.040000000,1939.260000000,4975510.000000000,1963776.000000000,301654503.000000000,21505887.000000000,3057108.000000000,355533.000000000,125951922.000000000,56571362.000000000,82279676.000000000,598315276.000000000,34.500000000,23.530000000,16.670000000,70.770000000,18.480000000,42.220000000,14.920000000,30.790000000,6.230000000,0.680000000,285.710000000,28.600000000,28.800000000,18.250000000,5.080000000,45.380000000,2.910000000,1.390000000,2185.710000000,532.730000000,458.240000000,400.630000000,326.250000000,408.210000000,593.330000000,390.630000000,397.060000000,343.530000000,296.000000000,279.330000000,300.000000000,1.620000000,1.440000000,89.620000000,102.300000000,616.470000000,1203.850000000,1045.000000000,440.830000000,0.290000000,554.550000000,1727.060000000,1.170000000,1.040000000,0.970000000,1.040000000,4.980000000,1.990000000,2.730000000
